time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,mflow_GHX_bypass,qghx_kW
294,0,0.694220178,410.9894613,537.4781587,0.464084318,22.35218827
295,0,0.693106574,410.9969731,537.4859319,0.462750623,22.72316621
296,0,0.693734038,411.009278,537.4846884,0.461417301,23.09569564
297,0,0.691484255,411.0152556,537.4831608,0.460084358,23.46977056
298,0,0.690039944,411.0158623,537.474008,0.4587518,23.84538494
299,0,0.692625188,411.0193092,537.4819701,0.457419633,24.22253278
300,0,0.695754381,411.0237466,537.4828923,0.456087862,24.60120805
301,0,0.696714245,411.0328854,537.4846994,0.454756493,24.98140476
302,0,0.699943015,411.0434357,537.4870447,0.453425531,25.36311687
303,0,0.702684488,411.042588,537.4806869,0.452094983,25.74633839
304,0,0.705039534,411.0533336,537.4898975,0.450764853,26.1310633
305,0,0.706237013,411.0692935,537.4975423,0.449435148,26.51728557
306,0,0.704779365,411.067642,537.4943293,0.448105873,26.90499921
307,0,0.703046108,411.0784222,537.4995137,0.446777034,27.29419819
308,0,0.70253102,411.0808098,537.4959953,0.445448637,27.68487651
309,0,0.701983345,411.0869406,537.494314,0.444120687,28.07702815
310,0,0.701956876,411.1014676,537.5105371,0.44279319,28.47064709
311,0,0.7022114,411.112218,537.515853,0.441466151,28.86572732
312,0,0.701261829,411.1106954,537.5131671,0.440139577,29.26226284
313,0,0.698443349,411.1117024,537.5138373,0.438813472,29.66024762
314,0,0.696174151,411.1163853,537.5091982,0.437487843,30.05967565
315,0,0.695654559,411.124691,537.5074596,0.436162696,30.46054092
316,0.555428571,0.696761588,411.1284162,537.5087101,0.434838035,30.86283742
317,1,0.697650274,411.126441,537.508422,0.433513867,31.26655913
318,1,0.696744333,411.1376836,537.5151227,0.432190197,31.67170004
319,1,0.701072444,411.1530947,537.5174036,0.430867031,32.07825413
320,1,0.705367117,411.1646438,537.516758,0.429544374,32.4862154
321,1,0.711936973,411.1649376,537.5114755,0.428222233,32.89557783
322,1,0.717700809,411.1695548,537.5173098,0.426900613,33.3063354
323,1,0.723195854,411.172492,537.5260335,0.425579519,33.7184821
324,1,0.71418314,411.1770011,537.5176024,0.424258958,34.13201192
325,1,0.701181298,411.1875384,537.5152017,0.422938934,34.54691884
326,1,0.647308717,411.1892512,537.5168668,0.421619454,34.96319686
327,1,0.568870306,411.1868027,537.5137508,0.420300524,35.38083995
328,1,0.520349446,411.1948624,537.5138457,0.418982148,35.79984211
329,1,0.477759809,411.2114469,537.5130278,0.417664333,36.22019732
330,1,0.457238192,411.2110668,537.5090786,0.416347084,36.64189957
331,1,0.419999721,411.2186444,537.5183236,0.415030407,37.06494284
332,1,0.362316715,411.2243737,537.5179682,0.413714308,37.48932112
333,1,0.342528377,411.2252465,537.5093883,0.412398792,37.9150284
334,1,0.31031081,411.2375734,537.5076044,0.411083865,38.34205867
335,1,0.274436801,411.2493298,537.5052993,0.409769532,38.7704059
336,1,0.239441684,411.2524361,537.5077968,0.4084558,39.2000641
337,1,0.180106292,411.2470192,537.5044941,0.407142673,39.63102723
338,1,0.157853264,411.2500767,537.502684,0.405830159,40.0632893
339,1,0.159095794,411.2516108,537.5054524,0.404518261,40.49684428
340,1,0.166679539,411.264695,537.5136365,0.403206987,40.93168617
341,1,0.17422549,411.2682039,537.5138576,0.401896341,41.36780895
342,1,0.182693632,411.2719005,537.5166665,0.40058633,41.8052066
343,1,0.198848605,411.282328,537.5248678,0.399276958,42.24387312
344,1,0.205720976,411.283109,537.5265526,0.397968232,42.68380249
345,1,0.21868994,411.2773515,537.5286936,0.396660157,43.12498869
346,1,0.24526581,411.2674331,537.5332855,0.39535274,43.56742572
347,1,0.257607079,411.2707101,537.5457889,0.394045984,44.01110756
348,1,0.26855492,411.288861,537.5684063,0.392739898,44.45602819
349,1,0.284368311,411.2984819,537.5855027,0.391434485,44.9021816
350,1,0.294563997,411.2996072,537.5911984,0.390129752,45.34956179
351,1,0.3161805,411.3034237,537.6060652,0.388825704,45.79816273
352,1,0.325847549,411.3071306,537.6264752,0.387522347,46.24797841
353,1,0.339263227,411.3058816,537.6417698,0.386219686,46.69900283
354,1,0.36057866,411.299132,537.6612899,0.384917728,47.15122995
355,1,0.370635426,411.2987982,537.6853498,0.383616478,47.60465378
356,1,0.3928243,411.3006285,537.7180524,0.382315942,48.0592683
357,1,0.407677857,411.3102289,537.745114,0.381016125,48.5150675
358,1,0.417896815,411.3164578,537.7711722,0.379717033,48.97204535
359,1,0.420718581,411.3119479,537.7892131,0.378418672,49.43019586
360,1,0.424170068,411.3158965,537.8175884,0.377121046,49.889513
361,1,0.427008759,411.3122068,537.8515651,0.375824163,50.34999076
362,1,0.429378963,411.3010157,537.8869834,0.374528028,50.81162313
363,1,0.430696415,411.3062828,537.929124,0.373232646,51.2744041
364,1,0.432874463,411.3139946,537.9680442,0.371938023,51.73832765
365,1,0.438045262,411.3118576,537.9976552,0.370644164,52.20338776
366,1,0.440210828,411.3100749,538.0357051,0.369351076,52.66957843
367,1,0.441468815,411.3102718,538.0714329,0.368058764,53.13689364
368,1,0.442261253,411.304251,538.09653,0.366767233,53.60532738
369,1,0.442464814,411.3083767,538.1258211,0.36547649,54.07487363
